GO,Function,Proteins,Gene Name,Ontology group,Count of protein,Number of proteins detected within the genome,GO frequency within the dataset (%),GO frequency within the genome (%),P-Value,P-Values_BH
GO:0005576,extracellular region,Q2KIE5(Evidence code:IEA/Database source:InterPro:IPR001089|I)A5D7R1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)O77482(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q8SPF8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q3Y5Z3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q05718(Evidence code:IEA/Database source:InterPro:IPR000867|I)P19159(Evidence code:IEA/Database source:InterPro:IPR001400|I)P55906(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)A4FUZ9(Evidence code:IEA/Database source:InterPro:IPR000074), CXCL2 TNFRSF11B IL1RN BPIFB1 ADIPOQ IGFBP6 CSH2 TGFBI APOA5,CC,9,9 of 300,7.32,3,0.00000486,0.0003221
GO:0005654,nucleoplasm,F1MXK2(Evidence code:IEA/Database source:UniProtKB:Q7Z417|ens)E1BMK9(Evidence code:IEA/Database source:UniProtKB:Q9NXG0|ens)E1BKG4(Evidence code:IEA/Database source:UniProtKB:G1UI16|ens)A4Z945(Evidence code:IEA/Database source:UniProtKB:Q8IZ13|ens)F1N1D2(Evidence code:IBA/Database source:PANTHER:PTN001489025)A6QNQ6(Evidence code:IEA/Database source:UniProtKB:A0A024RC34)F1N1Q9(Evidence code:IEA/Database source:UniProtKB:A0A090N8N7)A4IF78(Evidence code:IEA/Database source:UniProtKB:O95379|ens)A5PJS6(Evidence code:IEA/Database source:UniProtKB:Q14694|ens), NUFIP2 CNTLN PDS5A ZBED8 DMC1 RBBP8 PPP1R17 TNFAIP8 USP10,CC,9,9 of 315,7.32,2.86,0.000007091,0.0004308
GO:0005886,plasma membrane,F1MNS5(Evidence code:IEA/Database source:UniProtKB:P22413|ens)F1ME33(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)E1BKG4(Evidence code:IEA/Database source:UniProtKB:G1UI16|ens)F1MCG9(Evidence code:IEA/Database source:UniProtKB:Q5KSL6|ens)F1MS60(Evidence code:IEA/Database source:UniProtKB:Q80YF9|ens)P62958(Evidence code:IEA/Database source:UniProtKB:P49773|ens)G5E626(Evidence code:IBA/Database source:PANTHER:PTN002384279)P29473(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q1L1H6(Evidence code:IBA/Database source:PANTHER:PTN000422281)F1MUU8(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)E1B7L5(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)E1BD35(Evidence code:IBA/Database source:PANTHER:PTN000276703), ENPP1 LOC788438 PDS5A DGKK ARHGAP33 HINT1 ABCC6 NOS3 CD1B3 OR8D4 OR6C75 RIC8B,CC,12,12 of 630,9.76,1.9,0.00001364,0.0006669
GO:0003779,actin binding,P62326(Evidence code:IEA/Database source:UniProtKB-KW:KW-0009)Q8SQ24(Evidence code:IBA/Database source:PANTHER:PTN000409135)P21752(Evidence code:IEA/Database source:UniProtKB-KW:KW-0009)E1BF59(Evidence code:IEA/Database source:UniProtKB-KW:KW-0009)Q9TS87(Evidence code:IEA/Database source:UniProtKB-KW:KW-0009)A2VDX0(Evidence code:IEA/Database source:InterPro:IPR002108|I), TMSB4 MYOZ1 TMSB10 PLEC TAGLN TWF2,MF,6,6 of 124,4.88,4.84,0.00001372,0.0006669
GO:0006334,nucleosome assembly,E1BCN3(Evidence code:IEA/Database source:UniProtKB:Q9Z183|ens)Q2M2T1(Evidence code:IBA/Database source:PANTHER:PTN000603808)Q2TBR3(Evidence code:IEA/Database source:InterPro:IPR002164)P51122(Evidence code:IBA/Database source:PANTHER:PTN000146837), PADI4 HIST1H2BK SET ANP32A,BP,4,4 of 33,3.25,12.12,0.00001334,0.0006669
GO:0043547,positive regulation of GTPase activity,F1MIX6(Evidence code:IEA/Database source:GO:0005096)F1MS60(Evidence code:IEA/Database source:GO:0005096)E1BD35(Evidence code:IEA/Database source:GO:0005096)Q5E9C0(Evidence code:IEA/Database source:UniProtKB:Q15404|ens), DOCK1 ARHGAP33 RIC8B RSU1,BP,4,4 of 36,3.25,11.11,0.00001828,0.000833
GO:0005801,cis-Golgi network,Q2TBU3(Evidence code:IEA/Database source:InterPro:IPR023601)Q3T086(Evidence code:IBA/Database source:PANTHER:PTN000302156)F1MXF5(Evidence code:IEA/Database source:UniProtKB:Q99996|ens), GOSR1 TRAPPC6A AKAP9,CC,3,3 of 12,2.44,25,0.00002514,0.001078
GO:0016020,membrane,A7MAZ2(Evidence code:IEA/Database source:InterPro:IPR006011|I)P29473(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q5EA03(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q2TBU3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A8E4Q7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)A2VDS6(Evidence code:IEA/Database source:InterPro:IPR001571|I)Q58DR2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)E1BMC6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1MUI1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1MNS5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1N084(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q2TBM9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1MYL5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)E1B7L5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q0VCH4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1ME33(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1MUU8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)G5E5W4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1MIP7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q1L1H6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)G5E626(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472), STX12 NOS3 TMEM186 GOSR1 CLEC12A VIPR1 DNAJB12 SLMAP TDRKH ENPP1 LOC530348 SERAC1 CNTNAP5 OR6C75 GAL3ST3 LOC788438 OR8D4 CNTNAP4 ABCC2 CD1B3 ABCC6,CC,21,21 of 1837,17.07,1.14,0.00003384,0.00137
GO:0005783,endoplasmic reticulum,Q3T086(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)P51122(Evidence code:ISS/Database source:UniProtKB:P39687)Q2TBM9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0256)Q05JF3(Evidence code:IEA/Database source:UniProtKB:P31415|ens)Q3Y5Z3(Evidence code:ISS/Database source:UniProtKB:Q60994)Q58DR2(Evidence code:ISS/Database source:UniProtKB:Q9NXW2)Q0P5H6(Evidence code:IEA/Database source:UniProtKB:Q9Y4P3|ens), TRAPPC6A ANP32A SERAC1 casq1 ADIPOQ DNAJB12 TBL2,CC,7,7 of 220,5.69,3.18,0.00003657,0.001403
GO:0006915,apoptotic process,P62958(Evidence code:IEA/Database source:UniProtKB-KW:KW-0053)A0JN97(Evidence code:IEA/Database source:UniProtKB-KW:KW-0053)A5D7R1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0053)A4IF78(Evidence code:IEA/Database source:UniProtKB-KW:KW-0053)Q5EAE6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0053)Q3SZT9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0053), HINT1 PRKCD TNFRSF11B TNFAIP8 DAP CYCT,BP,6,6 of 151,4.88,3.97,0.00003965,0.001445
GO:0020037,heme binding,P02192(Evidence code:IEA/Database source:InterPro:IPR000971|I)Q08DD0(Evidence code:IEA/Database source:InterPro:IPR001128|I)P29473(Evidence code:IEA/Database source:InterPro:IPR012144)Q3SZT9(Evidence code:IEA/Database source:InterPro:IPR002327|I), MB CYP46A1 NOS3 CYCT,MF,4,4 of 49,3.25,8.16,0.00005623,0.001952
GO:0005615,extracellular space,A4FUZ9(Evidence code:IEA/Database source:UniProtKB:Q6Q788|ens)A5D7R1(Evidence code:IEA/Database source:UniProtKB:O00300|ens)P62326(Evidence code:IDA/Database source:)Q2KIE5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0202)O77482(Evidence code:IEA/Database source:InterPro:IPR000975|I)Q3Y5Z3(Evidence code:ISS/Database source:UniProtKB:Q15848)F1MNS5(Evidence code:IEA/Database source:UniProtKB:P22413|ens)Q05718(Evidence code:IBA/Database source:PANTHER:PTN000167605)Q8SPF8(Evidence code:IEA/Database source:InterPro:IPR021193), APOA5 TNFRSF11B TMSB4 CXCL2 IL1RN ADIPOQ ENPP1 IGFBP6 BPIFB1,CC,9,9 of 426,7.32,2.11,0.00006935,0.002298
GO:0005549,odorant binding,F1MUU8(Evidence code:IBA/Database source:PANTHER:PTN001241937)F1ME33(Evidence code:IBA/Database source:PANTHER:PTN001241937), OR8D4 LOC788438,MF,2,2 of 2,1.63,100,0.00008795,0.002788
GO:0006355,"regulation of transcription, DNA-templated",E1BDZ8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0805)Q1RMH9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0805)Q9XSK7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0805)E1BMT1(Evidence code:IEA/Database source:InterPro:IPR032949)A2VE56(Evidence code:IEA/Database source:InterPro:IPR004092)P62958(Evidence code:ISS/Database source:UniProtKB:P49773)E1BN90(Evidence code:IEA/Database source:InterPro:IPR001909|I)E1BNP7(Evidence code:IEA/Database source:InterPro:IPR004979)P51122(Evidence code:IEA/Database source:UniProtKB-KW:KW-0805)E1BIL7(Evidence code:IEA/Database source:InterPro:IPR001909|I)A7E3B5(Evidence code:IEA/Database source:InterPro:IPR028853), EPC2 DNAJC2 HDGF SIX3 PHF20L1 HINT1 ZKSCAN2 TFAP2D ANP32A ZKSCAN1 ARID4B,BP,11,11 of 662,8.94,1.66,0.00009699,0.002946
GO:0007129,synapsis,E1BLN1(Evidence code:IEA/Database source:UniProtKB:Q62209|ens)F1N1D2(Evidence code:IEA/Database source:UniProtKB:Q61880|ens), SYCP1 DMC1,BP,2,2 of 3,1.63,66.67,0.0001462,0.004263
GO:0042803,protein homodimerization activity,Q3Y5Z3(Evidence code:IEA/Database source:UniProtKB:Q15848|ens)F1MNS5(Evidence code:IEA/Database source:UniProtKB:P22413|ens)F6RF21(Evidence code:IEA/Database source:UniProtKB:Q6P5D8|ens)A6QQK5(Evidence code:IEA/Database source:UniProtKB:Q8IVH4|ens)E1BCN3(Evidence code:IEA/Database source:UniProtKB:Q9UM07|ens)F1MRZ8(Evidence code:IEA/Database source:UniProtKB:P08567|ens), ADIPOQ ENPP1 SMCHD1 MMAA PADI4 PLEK,MF,6,6 of 210,4.88,2.86,0.0002262,0.005498
GO:0007131,reciprocal meiotic recombination,E1BLN1(Evidence code:IEA/Database source:UniProtKB:Q62209|ens)F1N1D2(Evidence code:IEA/Database source:InterPro:IPR011940), SYCP1 DMC1,BP,2,2 of 4,1.63,50,0.0002187,0.005498
GO:0031953,negative regulation of protein autophosphorylation,F1MNS5(Evidence code:IEA/Database source:UniProtKB:P22413|ens)Q3Y5Z3(Evidence code:ISS/Database source:UniProtKB:Q15848), ENPP1 ADIPOQ,BP,2,2 of 4,1.63,50,0.0002187,0.005498
GO:0000794,condensed nuclear chromosome,E1BLN1(Evidence code:IEA/Database source:UniProtKB:Q62209|ens)F1N1D2(Evidence code:IEA/Database source:UniProtKB:Q61880|ens), SYCP1 DMC1,CC,2,2 of 4,1.63,50,0.0002187,0.005498
GO:0034115,negative regulation of heterotypic cell-cell adhesion,Q3Y5Z3(Evidence code:ISS/Database source:UniProtKB:Q15848)O77482(Evidence code:IEA/Database source:UniProtKB:P18510|ens), ADIPOQ IL1RN,BP,2,2 of 4,1.63,50,0.0002187,0.005498
GO:0006281,DNA repair,Q3SZL4(Evidence code:IEA/Database source:InterPro:IPR016592)F1N1D2(Evidence code:IEA/Database source:InterPro:IPR020588)A6QNQ6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0234)A5PJS6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0234)E1BKG4(Evidence code:IBA/Database source:PANTHER:PTN000292173), NBN DMC1 RBBP8 USP10 PDS5A,BP,5,5 of 136,4.07,3.68,0.0002443,0.005745
GO:0006351,"transcription, DNA-templated",Q1RMH9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0804)E1BIL7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0804)E1BN90(Evidence code:IEA/Database source:UniProtKB-KW:KW-0804)P51122(Evidence code:IEA/Database source:UniProtKB-KW:KW-0804)Q5E9A1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0804)Q9XSK7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0804)E1BDZ8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0804)P62958(Evidence code:IEA/Database source:UniProtKB-KW:KW-0804), DNAJC2 ZKSCAN1 ZKSCAN2 ANP32A NACA HDGF EPC2 HINT1,BP,8,8 of 435,6.5,1.84,0.0004169,0.009497
GO:0000149,SNARE binding,Q2TBU3(Evidence code:IBA/Database source:PANTHER:PTN000473329)A7MAZ2(Evidence code:IBA/Database source:PANTHER:PTN000461349)E1B9K5(Evidence code:IBA/Database source:PANTHER:PTN000480155), GOSR1 STX12 EXOC3L4,MF,3,3 of 35,2.44,8.57,0.0004358,0.009627
GO:0000166,nucleotide binding,Q3MHK0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0547)A4IFD0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0547)P62958(Evidence code:IEA/Database source:UniProtKB-KW:KW-0547)F1MCG9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0547)G5E626(Evidence code:IEA/Database source:UniProtKB-KW:KW-0547)A0JN97(Evidence code:IEA/Database source:UniProtKB-KW:KW-0547)F1MIP7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0547)Q58DC8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0547)F1N1D2(Evidence code:IEA/Database source:InterPro:IPR010995)Q9XSK7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0547), KIF3A Ak5 HINT1 DGKK ABCC6 PRKCD ABCC2 ORC1 DMC1 HDGF,MF,10,10 of 677,8.13,1.48,0.000474,0.01016
