GO,Function,Proteins,Gene Name,Ontology group,Count of protein,Number of proteins detected within the genome,GO frequency within the dataset (%),GO frequency within the genome (%),P-Value,P-Values_BH
GO:0005751,mitochondrial respiratory chain complex IV,P23004(Evidence code:IEA/Database source:UniProtKB:P22695|ens)A5PK67(Evidence code:IBA/Database source:PANTHER:PTN001023184)P00423(Evidence code:IEA/Database source:UniProtKB:P13073|ens)P00428(Evidence code:IBA/Database source:PANTHER:PTN000012880)P00426(Evidence code:IEA/Database source:UniProtKB:P20674|ens), UQCRC2 MGC165862 COX4I1 COX5B COX5A,CC,5,5 of 12,5.62,41.67,1.108E-09,5.602E-08
GO:0022625,cytosolic large ribosomal subunit,Q2TBQ5(Evidence code:IBA/Database source:PANTHER:PTN000559990)Q58DW5(Evidence code:IBA/Database source:PANTHER:PTN000601661)Q58DQ3(Evidence code:ISS/Database source:UniProtKB:Q02878)Q3T0S6(Evidence code:IBA/Database source:PANTHER:PTN000343558)Q5E9E6(Evidence code:IEA/Database source:UniProtKB:P62906|ens)Q58DT1(Evidence code:IBA/Database source:PANTHER:PTN000897517), RPL7A RPL5 RPL6 RPL8 RPL10A RPL7,CC,6,6 of 45,6.74,13.33,8.686E-09,3.991E-07
GO:0005753,mitochondrial proton-transporting ATP synthase complex,P02721(Evidence code:IEA/Database source:UniProtKB:P18859|ens)P05631(Evidence code:IEA/Database source:UniProtKB:P36542|ens)P13620(Evidence code:IDA/Database source:)Q28851(Evidence code:IEA/Database source:UniProtKB:P56134|ens)P13619(Evidence code:ISS/Database source:UniProtKB:P24539), ATP5J ATP5C1 ATP5H ATP5J2 ATP5F1,CC,5,5 of 20,5.62,25,9.331E-09,3.991E-07
GO:0003723,RNA binding,F1MXI4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0694)Q58DT1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0694)Q2TBQ5(Evidence code:IBA/Database source:PANTHER:PTN000559990)P09867(Evidence code:IEA/Database source:UniProtKB-KW:KW-0694)Q3T0S6(Evidence code:IEA/Database source:InterPro:IPR023672)Q58DQ3(Evidence code:IBA/Database source:PANTHER:PTN000076315)Q3ZC44(Evidence code:IEA/Database source:UniProtKB-KW:KW-0694)Q3SZF3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0694)A2VDN6(Evidence code:IEA/Database source:InterPro:IPR000061|I)Q0VCA5(Evidence code:ISS/Database source:UniProtKB:Q9Y3Z3)Q5E9E6(Evidence code:IEA/Database source:InterPro:IPR002143)Q3T147(Evidence code:IEA/Database source:UniProtKB-KW:KW-0694)Q58DW5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0694), MATR3 RPL7 RPL7A HNRNPA1 RPL8 RPL6 HNRNPAB HNRNPH2 SF3A1 SAMHD1 RPL10A DDX39B RPL5,MF,13,13 of 520,14.61,2.5,1.139E-08,4.272E-07
GO:0004129,cytochrome-c oxidase activity,P00423(Evidence code:IEA/Database source:InterPro:IPR004203|I)P00426(Evidence code:IEA/Database source:InterPro:IPR003204|I)A5PK67(Evidence code:IBA/Database source:PANTHER:PTN001023184)P13184(Evidence code:IEA/Database source:InterPro:IPR003177|I)P00428(Evidence code:IBA/Database source:PANTHER:PTN000012880), COX4I1 COX5A MGC165862 COX7A2 COX5B,MF,5,5 of 21,5.62,23.81,1.152E-08,4.272E-07
GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)",P13620(Evidence code:IEA/Database source:UniProtKB-KW:KW-0138)Q28851(Evidence code:IEA/Database source:UniProtKB-KW:KW-0138)P02721(Evidence code:IEA/Database source:UniProtKB-KW:KW-0138)P13619(Evidence code:IEA/Database source:UniProtKB-KW:KW-0138), ATP5H ATP5J2 ATP5J ATP5F1,CC,4,4 of 11,4.49,36.36,8.459E-08,0.000002767
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",P00423(Evidence code:IBA/Database source:PANTHER:PTN000076140)P00428(Evidence code:IBA/Database source:PANTHER:PTN000012880)P00426(Evidence code:IBA/Database source:PANTHER:PTN000367750)P62894(Evidence code:IBA/Database source:PANTHER:PTN000238899), COX4I1 COX5B COX5A CYCS,BP,4,4 of 11,4.49,36.36,8.459E-08,0.000002767
GO:0043209,myelin sheath,P13619(Evidence code:IEA/Database source:UniProtKB:Q9CQQ7|ens)P00426(Evidence code:IEA/Database source:UniProtKB:P12787|ens)Q3T165(Evidence code:IEA/Database source:UniProtKB:P67778|ens)P12344(Evidence code:IEA/Database source:UniProtKB:P05202|ens)P05631(Evidence code:IEA/Database source:UniProtKB:Q91VR2|ens)P23004(Evidence code:IEA/Database source:UniProtKB:Q9DB77|ens), ATP5F1 COX5A PHB GOT2 ATP5C1 UQCRC2,CC,6,6 of 71,6.74,8.45,1.071E-07,0.000003307
GO:0006412,translation,Q3T0S6(Evidence code:IEA/Database source:InterPro:IPR002171|I)Q56JX8(Evidence code:IEA/Database source:InterPro:IPR000589|I)Q5E9E6(Evidence code:IEA/Database source:InterPro:IPR002143)Q2TBQ5(Evidence code:IBA/Database source:PANTHER:PTN000559990)Q5E983(Evidence code:IEA/Database source:UniProtKB-KW:KW-0648)Q58DW5(Evidence code:IEA/Database source:InterPro:IPR005485)Q58DQ3(Evidence code:IEA/Database source:InterPro:IPR000915|I), RPL8 RPS13 RPL10A RPL7A EEF1B RPL5 RPL6,BP,7,7 of 130,7.87,5.38,1.754E-07,0.000005134
GO:0009055,electron transfer activity,P31039(Evidence code:IBA/Database source:PANTHER:PTN000180228)P00125(Evidence code:IEA/Database source:InterPro:IPR002326|I)Q2TBV3(Evidence code:IEA/Database source:InterPro:IPR000049|I)P13184(Evidence code:IEA/Database source:InterPro:IPR003177)P62894(Evidence code:IEA/Database source:InterPro:IPR002327|I), SDHA CYC1 ETFB COX7A2 CYCS,MF,5,5 of 46,5.62,10.87,3.872E-07,0.00001076
GO:0042776,mitochondrial ATP synthesis coupled proton transport,P00428(Evidence code:IBA/Database source:PANTHER:PTN000012880)Q32LL2(Evidence code:ISS/Database source:UniProtKB:Q9UJZ1)P00125(Evidence code:IBA/Database source:PANTHER:PTN000030137), COX5B STOML2 CYC1,BP,3,3 of 3,3.37,100,4.402E-07,0.00001165
GO:0002181,cytoplasmic translation,Q3T0S6(Evidence code:IBA/Database source:PANTHER:PTN000343556)Q58DQ3(Evidence code:ISS/Database source:UniProtKB:Q02878)Q5E9E6(Evidence code:IEA/Database source:UniProtKB:P62906|ens)Q58DT1(Evidence code:IBA/Database source:PANTHER:PTN000897517), RPL8 RPL6 RPL10A RPL7,BP,4,4 of 20,4.49,20,6.449E-07,0.0000163
GO:0015986,ATP synthesis coupled proton transport,P13620(Evidence code:IEA/Database source:InterPro:IPR008689|I)P02721(Evidence code:IEA/Database source:InterPro:IPR008387|I)P05631(Evidence code:IEA/Database source:InterPro:IPR000131|I)P13619(Evidence code:IEA/Database source:InterPro:IPR008688|I), ATP5H ATP5J ATP5C1 ATP5F1,BP,4,4 of 21,4.49,19.05,0.000000766,0.00001852
GO:0005634,nucleus,Q5E9L5(Evidence code:ISS/Database source:UniProtKB:Q96LA8)Q3T147(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)A2VDN6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)Q2HJ65(Evidence code:IEA/Database source:InterPro:IPR002119)P00423(Evidence code:IEA/Database source:UniProtKB:P13073|ens)Q58DW5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)Q0VCA5(Evidence code:ISS/Database source:UniProtKB:Q9Y3Z3)P35466(Evidence code:IEA/Database source:UniProtKB:P26447|ens)Q3T165(Evidence code:IEA/Database source:UniProtKB:P35232|ens)P09867(Evidence code:ISS/Database source:UniProtKB:P09651)A5PK67(Evidence code:IEA/Database source:UniProtKB:Q9C002|ens)Q2TBP7(Evidence code:ISS/Database source:UniProtKB:Q99417)Q3SZF3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)Q5E9X4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0539)Q0VD32(Evidence code:ISS/Database source:UniProtKB:Q32M00)Q3T0B6(Evidence code:ISS/Database source:UniProtKB:Q07021), PRMT6 DDX39B SF3A1 H2AFY COX4I1 RPL5 SAMHD1 S100A4 PHB HNRNPA1 MGC165862 MYCBP HNRNPH2 LRRC59 CREBL2 C1QBP,CC,16,16 of 1172,17.98,1.37,8.833E-07,0.00002046
GO:0016491,oxidoreductase activity,P20000(Evidence code:IEA/Database source:InterPro:IPR015590|I)O02691(Evidence code:IEA/Database source:InterPro:IPR020904)Q3MHW4(Evidence code:IEA/Database source:InterPro:IPR023753)P00366(Evidence code:IEA/Database source:InterPro:IPR006095|I)Q3SZI8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0560)A6H7H3(Evidence code:IEA/Database source:InterPro:IPR020904)P31039(Evidence code:IEA/Database source:InterPro:IPR003952|I)P52505(Evidence code:TAS/Database source:)P00432(Evidence code:IEA/Database source:UniProtKB-KW:KW-0560), ALDH2 HSD17B10 SQRDL GLUD1 IVD LOC789567 SDHA NDUFAB1 CAT,MF,9,9 of 361,10.11,2.49,0.00000176,0.00003914
GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",P13620(Evidence code:IEA/Database source:InterPro:IPR008689|I)P13619(Evidence code:IEA/Database source:InterPro:IPR008688|I)P02721(Evidence code:IEA/Database source:InterPro:IPR008387|I), ATP5H ATP5F1 ATP5J,CC,3,3 of 8,3.37,37.5,0.000003593,0.00007682
GO:0003735,structural constituent of ribosome,Q3T0S6(Evidence code:IEA/Database source:InterPro:IPR002171|I)Q58DW5(Evidence code:IEA/Database source:InterPro:IPR005485)Q58DQ3(Evidence code:IEA/Database source:InterPro:IPR000915|I)Q58DT1(Evidence code:IBA/Database source:PANTHER:PTN000897517)Q5E9E6(Evidence code:IEA/Database source:InterPro:IPR002143)Q56JX8(Evidence code:IEA/Database source:InterPro:IPR000589|I), RPL8 RPL5 RPL6 RPL7 RPL10A RPS13,MF,6,6 of 138,6.74,4.35,0.00000425,0.00008752
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",P05631(Evidence code:IEA/Database source:InterPro:IPR000131|I)P13620(Evidence code:IBA/Database source:PANTHER:PTN000294648)P13619(Evidence code:IBA/Database source:PANTHER:PTN000296496), ATP5C1 ATP5H ATP5F1,MF,3,3 of 10,3.37,30,0.0000062,0.0001189
GO:0005750,mitochondrial respiratory chain complex III,P31800(Evidence code:IBA/Database source:PANTHER:PTN000220240)P23004(Evidence code:IEA/Database source:UniProtKB:P22695|ens)P00125(Evidence code:IBA/Database source:PANTHER:PTN002231577), UQCRC1 UQCRC2 CYC1,CC,3,3 of 10,3.37,30,0.0000062,0.0001189
