GO,Function,Proteins,Gene Name,Ontology group,Count of protein,Number of proteins detected within the genome,GO frequency within the dataset (%),GO frequency within the genome (%),P-Value,P-Values_BH
GO:0030414,peptidase inhibitor activity,Q7SIH1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)P01044(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)P02666(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)P01045(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)P28800(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)Q1JPB0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)P34955(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)Q0VCM5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)Q3T052(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646)P41361(Evidence code:IEA/Database source:UniProtKB-KW:KW-0646), A2M KNG1 CSN2 KNG2 SERPINF2 SERPINB1 SERPINA1 ITIH1 ITIH4 SERPINC1,MF,10,10 of 80,9.9,12.5,6.496E-13,3.915E-11
GO:0006957,"complement activation, alternative pathway",Q28085(Evidence code:IEA/Database source:UniProtKB-KW:KW-0179)Q29RQ1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0179)Q3MHN2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0179)P81187(Evidence code:IEA/Database source:UniProtKB-KW:KW-0179)Q2UVX4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0179)Q3T0A3(Evidence code:IEA/Database source:InterPro:IPR037561), CFH C7 C9 CFB C3 CFD,BP,6,6 of 7,5.94,85.71,1.887E-12,1.042E-10
GO:0042742,defense response to bacterium,P80025(Evidence code:IEA/Database source:InterPro:IPR029587)P22226(Evidence code:IEA/Database source:UniProtKB-KW:KW-0044)P19660(Evidence code:IEA/Database source:UniProtKB-KW:KW-0044)Q2TBU0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0044)Q8SPP7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0044)P24627(Evidence code:IEA/Database source:UniProtKB-KW:KW-0044)P02663(Evidence code:IEA/Database source:UniProtKB-KW:KW-0044)Q2TBI0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0044)P54228(Evidence code:IEA/Database source:UniProtKB-KW:KW-0044), LPO CATHL1 CATHL2 HP PGLYRP1 LTF CSN1S2 LBP CATHL6,BP,9,9 of 86,8.91,10.47,3.844E-11,1.961E-09
GO:0004252,serine-type endopeptidase activity,P30931(Evidence code:IEA/Database source:UniProtKB:P13726|ens)Q3T0A3(Evidence code:IEA/Database source:InterPro:IPR001254|I)P81187(Evidence code:IEA/Database source:InterPro:IPR001254|I)Q32PI4(Evidence code:IEA/Database source:InterPro:IPR001254|I)P24627(Evidence code:IEA/Database source:InterPro:IPR030684)Q0VCX1(Evidence code:IEA/Database source:InterPro:IPR001254|I)P00735(Evidence code:IEA/Database source:InterPro:IPR001254|I)P06868(Evidence code:IEA/Database source:InterPro:IPR001254|I), F3 CFD CFB CFI LTF C1S F2 PLG,MF,8,8 of 57,7.92,14.04,5.341E-11,2.529E-09
GO:0042632,cholesterol homeostasis,P10790(Evidence code:IEA/Database source:UniProtKB:P11404|ens)Q32PJ2(Evidence code:IBA/Database source:PANTHER:PTN000439006)P15497(Evidence code:IEA/Database source:UniProtKB:P02647|ens)Q03247(Evidence code:IBA/Database source:PANTHER:PTN000439006)P79345(Evidence code:IEA/Database source:UniProtKB:P61916|ens)P11151(Evidence code:IEA/Database source:UniProtKB:P06858|ens), FABP3 APOA4 APOA1 APOE NPC2 LPL,BP,6,6 of 19,5.94,31.58,1.882E-10,8.317E-09
GO:0005794,Golgi apparatus,Q3ZBZ1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0333)P02663(Evidence code:IDA/Database source:)P08037(Evidence code:ISS/Database source:UniProtKB:P15291)P02662(Evidence code:IDA/Database source:)O02853(Evidence code:ISS/Database source:UniProtKB:P22057)P26201(Evidence code:ISS/Database source:UniProtKB:P16671)P01888(Evidence code:IEA/Database source:UniProtKB:P61769|ens)P12763(Evidence code:IEA/Database source:UniProtKB:P02765|ens)Q0P569(Evidence code:IEA/Database source:UniProtKB-KW:KW-0333)Q95122(Evidence code:ISS/Database source:UniProtKB:P08571)P02666(Evidence code:IDA/Database source:), SDF4 CSN1S2 B4GALT1 CSN1S1 PTGDS CD36 B2M AHSG NUCB1 CD14 CSN2,CC,11,11 of 202,10.89,5.45,2.091E-10,8.57E-09
GO:0005509,calcium ion binding,P02666(Evidence code:IBA/Database source:PANTHER:PTN000161175)Q0IIH5(Evidence code:IEA/Database source:InterPro:IPR002048|I)P00735(Evidence code:IEA/Database source:InterPro:IPR000294|I)Q0VCX1(Evidence code:IEA/Database source:InterPro:IPR001881|I)Q0P569(Evidence code:IEA/Database source:InterPro:IPR002048)P80025(Evidence code:IDA/Database source:)Q3SX14(Evidence code:IEA/Database source:InterPro:IPR030004)P00711(Evidence code:IEA/Database source:InterPro:IPR000545)O18738(Evidence code:IEA/Database source:InterPro:IPR015919)Q2KIS7(Evidence code:ISS/Database source:UniProtKB:P05452)Q3ZBZ1(Evidence code:IEA/Database source:InterPro:IPR002048), CSN2 NUCB2 F2 C1S NUCB1 LPO GSN LALBA DAG1 CLEC3B SDF4,MF,11,11 of 203,10.89,5.42,2.197E-10,8.57E-09
GO:0008201,heparin binding,P24627(Evidence code:IEA/Database source:UniProtKB:P02788|ens)P00735(Evidence code:IEA/Database source:UniProtKB:P00734|ens)P07589(Evidence code:IEA/Database source:UniProtKB-KW:KW-0358)Q2KIS7(Evidence code:ISS/Database source:UniProtKB:P05452)P11151(Evidence code:ISS/Database source:UniProtKB:P06858)P41361(Evidence code:IEA/Database source:InterPro:IPR015555)Q03247(Evidence code:IEA/Database source:UniProtKB-KW:KW-0358), LTF F2 FN1 CLEC3B LPL SERPINC1 APOE,MF,7,7 of 52,6.93,13.46,1.094E-09,4.03E-08
GO:0005886,plasma membrane,Q3MHN2(Evidence code:ISS/Database source:UniProtKB:P02748)P12763(Evidence code:TAS/Database source:)O18738(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q9MZ06(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P11151(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q3ZCH5(Evidence code:IBA/Database source:PANTHER:PTN000422281)P01888(Evidence code:IEA/Database source:UniProtKB:P61769|ens)P26201(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q95122(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P30931(Evidence code:IBA/Database source:PANTHER:PTN000466212)P60712(Evidence code:ISS/Database source:UniProtKB:G1NS52)P05307(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q8WML4(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P08037(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P02702(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P81265(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003), C9 AHSG DAG1 FGFBP1 LPL AZGP1 B2M CD36 CD14 F3 ACTB P4HB MUC1 B4GALT1 FOLR1 PIGR,CC,16,16 of 630,15.84,2.54,1.221E-09,4.262E-08
GO:0072562,blood microparticle,Q32PJ2(Evidence code:IBA/Database source:PANTHER:PTN000439006)Q03247(Evidence code:IBA/Database source:PANTHER:PTN000439006)P01045(Evidence code:IBA/Database source:PANTHER:PTN001790518)P01044(Evidence code:IBA/Database source:PANTHER:PTN001790518)P15497(Evidence code:IBA/Database source:PANTHER:PTN000439006)P12763(Evidence code:IBA/Database source:PANTHER:PTN000352259), APOA4 APOE KNG2 KNG1 APOA1 AHSG,CC,6,6 of 31,5.94,19.35,2.387E-09,7.913E-08
GO:0006958,"complement activation, classical pathway",Q29RU4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0180)Q3MHN2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0180)Q2UVX4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0180)Q29RQ1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0180)Q0VCX1(Evidence code:IEA/Database source:InterPro:IPR035708), C6 C9 C3 C7 C1S,BP,5,5 of 15,4.95,33.33,5.056E-09,1.596E-07
GO:0008236,serine-type peptidase activity,Q0VCX1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0720)Q3T0A3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0720)P00735(Evidence code:IEA/Database source:UniProtKB-KW:KW-0720)P81187(Evidence code:IEA/Database source:UniProtKB-KW:KW-0720)P06868(Evidence code:IEA/Database source:UniProtKB-KW:KW-0720)P24627(Evidence code:IEA/Database source:UniProtKB-KW:KW-0720)Q32PI4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0720), C1S CFD F2 CFB PLG LTF CFI,MF,7,7 of 67,6.93,10.45,5.523E-09,1.665E-07
GO:0005623,cell,Q32P72(Evidence code:IEA/Database source:GO:0006879)Q3SZV7(Evidence code:IEA/Database source:GO:0006879)P01045(Evidence code:IEA/Database source:GO:0007204)P01044(Evidence code:IEA/Database source:GO:0007204)A6QQA8(Evidence code:IEA/Database source:GO:0045454), CP HPX KNG2 KNG1 QSOX1,CC,5,5 of 16,4.95,31.25,6.618E-09,1.908E-07
GO:0034372,very-low-density lipoprotein particle remodeling,P11151(Evidence code:IEA/Database source:UniProtKB:P06858|ens)P15497(Evidence code:IBA/Database source:PANTHER:PTN000439006)Q03247(Evidence code:IBA/Database source:PANTHER:PTN000439006)Q32PJ2(Evidence code:IBA/Database source:PANTHER:PTN000439006), LPL APOA1 APOE APOA4,BP,4,4 of 4,3.96,100,7.2E-09,1.909E-07
GO:0005577,fibrinogen complex,P28800(Evidence code:IEA/Database source:UniProtKB:P08697|ens)P02676(Evidence code:IEA/Database source:InterPro:IPR012290)P02672(Evidence code:IEA/Database source:InterPro:IPR012290)P12799(Evidence code:IEA/Database source:InterPro:IPR012290), SERPINF2 FGB FGA FGG,CC,4,4 of 4,3.96,100,7.2E-09,1.909E-07
GO:1903496,response to 11-deoxycorticosterone,P02666(Evidence code:IDA/Database source:)P02663(Evidence code:IDA/Database source:)P00711(Evidence code:IDA/Database source:)P02662(Evidence code:IDA/Database source:), CSN2 CSN1S2 LALBA CSN1S1,BP,4,4 of 5,3.96,80,1.293E-08,3.061E-07
GO:0098869,cellular oxidant detoxification,P02662(Evidence code:IEA/Database source:GO:0016209)Q2TBU0(Evidence code:IEA/Database source:GO:0016209)P80025(Evidence code:IEA/Database source:GO:0004601)P02666(Evidence code:IEA/Database source:GO:0016209), CSN1S1 HP LPO CSN2,BP,4,4 of 5,3.96,80,1.293E-08,3.061E-07
